"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0412701","TUMACACORI NATIONAL HISTORIC PARK","Transient non-community system","Ground water","Santa Cruz","NOGALES","170","4","2","17"
"AZ0408358","TURQUOISE DE LUCHIA REST","Transient non-community system","Ground water","Mohave","WIKIEUP","80","5","39","8"
"AZ0413703","TUZIGOOT NATIONAL MONUMENT","Transient non-community system","Ground water","Yavapai","COTTONWOOD","300","5","6","15"
"AZ0403345","TWIN OAKS BAR AND CAFE","Transient non-community system","Ground water","Coconino","OAK CREEK CANYON","75","4","17","17"
"AZ0415458","TYSON WELLS RV PARK","Transient non-community system","Ground water","La Paz","QUARTZSITE","400","12","27","13"
"AZ0413136","UNITED CHRISTIAN YOUTH CAMP","Transient non-community system","Ground water","Yavapai","PRESCOTT","120","13","11","7"
"AZ0413073","UP THE CREEK GRILL","Transient non-community system","Ground water","Yavapai","PAGE SPRINGS","25","4","29","14"
"AZ0401508","USDA FS - ASNF - BIG LAKE REC AREA II","Transient non-community system","Ground water","Apache","GREER","699","9","55","22"
"AZ0413253","USDA-HIGHLAND CENTER FOR NATURAL HISTORY","Transient non-community system","Ground water","Yavapai","PRESCOTT","60","6","6","3"
"AZ0403801","USFS ASNF CANYON POINT CAMPGROUND","Transient non-community system","Ground water","Coconino","FOREST LAKES","300","5","11","12"
"AZ0406517","USFS ASNF HANNAGAN MEADOW","Transient non-community system","Ground water","Greenlee","HANNAGAN MEADOW","25","5","31","10"
"AZ0401507","USFS ASNF HORSE SPRINGS","Transient non-community system","Ground water","Apache","HORSE SPRINGS CMPGRD","60","7","7","5"
"AZ0401505","USFS ASNF LUNA LAKE CG","Transient non-community system","Ground water","Apache","ALPINE","200","6","17","12"
"AZ0401515","USFS ASNF ROLFE HOYER CAMPGROUNG","Transient non-community system","Ground water","Apache","GREER","204","6","17","15"
"AZ0403802","USFS ASNF WOODS CANYON - ASPEN CAMP AREA","Transient non-community system","Ground water","Coconino","WOODS CANYON LAKE","900","7","56","13"
"AZ0412606","USFS CNF BOG SPRINGS","Transient non-community system","Ground water","Santa Cruz","MADERA CANYON","35","6","37","13"
"AZ0402605","USFS CNF CAVE CREEK","Transient non-community system","Ground water","Cochise","PORTAL","80","8","23","18"
"AZ0405606","USFS CNF COLUMBINE","Transient non-community system","Ground water","Graham","MOUNT GRAHAM","50","5","19","15"
"AZ0402410","USFS CNF DOUGLAS RANGER STATION","Transient non-community system","Ground water","Cochise","DOUGLAS","45","3","5","5"
"AZ0402613","USFS CNF LAKE VIEW","Transient non-community system","Ground water","Cochise","PARKER","30","3","24","11"
"AZ0410605","USFS CNF LOMA LINDA","Transient non-community system","Ground water","Pima","MOUNT LEMMON","350","6","34","11"
"AZ0411600","USFS CNF PEPPER SAUCE","Transient non-community system","Ground water","Pinal","ORACLE","120","5","33","18"
"AZ0410609","USFS CNF SABINO CANYON STOP 8","Transient non-community system","Ground water","Pima","SABINO CANYON","50","5","3","5"
"AZ0410608","USFS CNF SKI LODGE","Transient non-community system","Ground water","Pima","MOUNT LEMMON","350","3","29","12"
"AZ0405613","USFS CNF TREASURE PARK","Transient non-community system","Ground water","Graham","SAFFORD","50","5","24","13"
